time,mv
00:03.992110,-0.009000000000000001
00:03.996020,-0.01
00:03.999930,-0.011
00:04.003840,-0.011
00:04.007750,-0.01
00:04.011660,-0.011
00:04.015570,-0.012
00:04.019480,-0.012
00:04.023390,-0.011
00:04.027300,-0.011
00:04.031210,-0.011
00:04.035120,-0.01
00:04.039030,-0.009000000000000001
00:04.042940,-0.01
00:04.046850,-0.009000000000000001
00:04.050760,-0.008
00:04.054670,-0.011
00:04.058580,-0.011
00:04.062490,-0.01
00:04.066400,-0.011
00:04.070310,-0.011
00:04.074220,-0.011
00:04.078130,-0.012
00:04.082040,-0.012
00:04.085950,-0.011
00:04.089860,-0.01
00:04.093770,-0.009000000000000001
00:04.097680,-0.011
00:04.101590,-0.01
00:04.105500,-0.01
00:04.109410,-0.011
00:04.113320,-0.011
00:04.117230,-0.009000000000000001
00:04.121140,-0.009000000000000001
00:04.125050,-0.009000000000000001
00:04.128960,-0.009000000000000001
00:04.132870,-0.009000000000000001
00:04.136780,-0.008
00:04.140690,-0.008
00:04.144600,-0.007
00:04.148510,-0.005
00:04.152420,-0.004
00:04.156330,-0.004
00:04.160240,-0.005
00:04.164150,-0.006
00:04.168060,-0.003
00:04.171970,-0.001
00:04.175880,0.0
00:04.179790,0.0
00:04.183700,0.002
00:04.187610,0.006
00:04.191520,0.005
00:04.195430,0.004
00:04.199340,0.004
00:04.203250,0.004
00:04.207160,0.003
00:04.211070,0.001
00:04.214980,0.0
00:04.218890,-0.001
00:04.222800,0.0
00:04.226710,0.0
00:04.230620,-0.003
00:04.234530,-0.004
00:04.238440,-0.005
00:04.242350,-0.007
00:04.246260,-0.01
00:04.250170,-0.012
00:04.254080,-0.013000000000000001
00:04.257990,-0.012
00:04.261900,-0.011
00:04.265810,-0.012
00:04.269720,-0.013000000000000001
00:04.273630,-0.013000000000000001
00:04.277540,-0.013000000000000001
00:04.281450,-0.013000000000000001
00:04.285360,-0.014
00:04.289270,-0.014
00:04.293180,-0.013000000000000001
00:04.297090,-0.013000000000000001
00:04.301000,-0.013000000000000001
00:04.304910,-0.014
00:04.308820,-0.012
00:04.312730,-0.013000000000000001
00:04.316640,-0.012
00:04.320550,-0.009000000000000001
00:04.324460,-0.004
00:04.328370,0.003
00:04.332280,0.019
00:04.336190,0.043000000000000003
00:04.340100,0.078
00:04.344010,0.11800000000000001
00:04.347920,0.147
00:04.351830,0.15
00:04.355740,0.124
00:04.359650,0.074
00:04.363560,0.012
00:04.367470,-0.042
00:04.371380,-0.065
00:04.375290,-0.066
00:04.379200,-0.059000000000000004
00:04.383110,-0.049
00:04.387020,-0.038
00:04.390930,-0.03
00:04.394840,-0.026000000000000002
00:04.398750,-0.023
00:04.402660,-0.019
00:04.406570,-0.015
00:04.410480,-0.01
00:04.414390,-0.009000000000000001
00:04.418300,-0.007
00:04.422210,-0.007
00:04.426120,-0.006
00:04.430030,-0.004
00:04.433940,-0.004
00:04.437850,-0.002
